Indexes,URL,Status,Category,Note
Nifty 50,https://www.niftyindices.com/indices/equity/broad-based-indices/NIFTY--50,Working,Broad Market Indices,
Nifty Next 50,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-next-50,Working,Broad Market Indices,
Nifty 100,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-100,Working,Broad Market Indices,
Nifty 200,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-200,Working,Broad Market Indices,
Nifty 500,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-500,Working,Broad Market Indices,
Nifty Midcap 50,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midcap-50,Working,Broad Market Indices,
NIFTY Midcap 100,https://www.niftyindices.com/indices/equity/broad-based-indices/NIFTY-Midcap-100,Working,Broad Market Indices,
NIFTY Smallcap 100,https://www.niftyindices.com/indices/equity/broad-based-indices/NIFTY-Smallcap-100,Working,Broad Market Indices,
India VIX,https://www.nseindia.com/products-services/indices-indiavix-index,Not Working,Broad Market Indices,
Nifty Smallcap 250,https://www.niftyindices.com/indices/equity/broad-based-indices/niftysmallcap250,Working,Broad Market Indices,
Nifty Smallcap 50,https://www.niftyindices.com/indices/equity/broad-based-indices/niftysmallcap50,Working,Broad Market Indices,
Nifty Midcap 150,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midcap-150,Working,Broad Market Indices,
Nifty Midcap Select,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midcap-select-index,Working,Broad Market Indices,
NIFTY LargeMidcap 250,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-largemidcap-250,Working,Broad Market Indices,
Nifty500 Multicap 50:25:25,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty500-multicap-50-25-25-index,Working,Broad Market Indices,
Nifty Microcap 250,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-microcap-250,Working,Broad Market Indices,
Nifty500 LargeMidSmall Equal-Cap Weighted,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty500-large-midsmall-equal-cap-weighted,Working,Broad Market Indices,
Nifty MidSmallcap 400,https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-midsmallcap-400,Working,Broad Market Indices,
